ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,url,track_href,analysis_url,duration_ms,time_signature,artist_name,track_name,track_id,track_popularity,artist_id
0,0.689,0.592,5,-6.758,1,0.0235,0.101,0.00867,0.11,0.919,98.997,audio_features,4mXGooManGPH6xAWRAtRJU,,https://api.spotify.com/v1/tracks/4mXGooManGPH6xAWRAtRJU,https://api.spotify.com/v1/audio-analysis/4mXGooManGPH6xAWRAtRJU,175027,4,Eric Church,Hell Of A View,4mXGooManGPH6xAWRAtRJU,71,2IvkS5MXK0vPGnwyJsrEyV
1,0.662,0.781,6,-3.294,1,0.0245,0.0957,8.00E-05,0.123,0.641,126.028,audio_features,6d3rOaVzZshI2YRBl7WjQb,,https://api.spotify.com/v1/tracks/6d3rOaVzZshI2YRBl7WjQb,https://api.spotify.com/v1/audio-analysis/6d3rOaVzZshI2YRBl7WjQb,215048,4,Bryan Martin,Memory to Drown,6d3rOaVzZshI2YRBl7WjQb,73,0ChjBYedhZTQnWZWQYg15U
2,0.532,0.584,8,-5.254,1,0.0248,0.723,0,0.101,0.367,88.003,audio_features,0sKEilrw1GrBlG6qsTCrP4,,https://api.spotify.com/v1/tracks/0sKEilrw1GrBlG6qsTCrP4,https://api.spotify.com/v1/audio-analysis/0sKEilrw1GrBlG6qsTCrP4,190680,4,Morgan Wallen,865,0sKEilrw1GrBlG6qsTCrP4,72,4oUHIQIBe0LHzYfvXNW4QM
3,0.62,0.706,3,-4.176,1,0.0251,0.0755,7.78E-06,0.185,0.591,81.989,audio_features,72kGuWpRiuA149Bn5lDkIO,,https://api.spotify.com/v1/tracks/72kGuWpRiuA149Bn5lDkIO,https://api.spotify.com/v1/audio-analysis/72kGuWpRiuA149Bn5lDkIO,188483,4,Bryan Martin,We Ride,72kGuWpRiuA149Bn5lDkIO,82,0ChjBYedhZTQnWZWQYg15U
4,0.633,0.643,0,-8.122,1,0.0252,0.106,0.00831,0.78,0.472,103.842,audio_features,43MifzVnh8W3jJN0xqU9jR,,https://api.spotify.com/v1/tracks/43MifzVnh8W3jJN0xqU9jR,https://api.spotify.com/v1/audio-analysis/43MifzVnh8W3jJN0xqU9jR,130385,4,juju<3,Wasted Summers,43MifzVnh8W3jJN0xqU9jR,82,496w0Fyed8J7IRzn5Ffb6x
5,0.776,0.701,9,-5.223,1,0.0254,0.513,0,0.0902,0.603,112.032,audio_features,3wlIAXSDtlD9iU8ysld06Z,,https://api.spotify.com/v1/tracks/3wlIAXSDtlD9iU8ysld06Z,https://api.spotify.com/v1/audio-analysis/3wlIAXSDtlD9iU8ysld06Z,265045,3,Peso Pluma,BIPOLAR,3wlIAXSDtlD9iU8ysld06Z,87,12GqGscKJx3aE4t07u7eVZ
6,0.49,0.352,6,-11.577,0,0.0254,0.709,0.0856,0.114,0.166,99.992,audio_features,6GGtHZgBycCgGBUhZo81xe,,https://api.spotify.com/v1/tracks/6GGtHZgBycCgGBUhZo81xe,https://api.spotify.com/v1/audio-analysis/6GGtHZgBycCgGBUhZo81xe,209156,4,Lana Del Rey,Say Yes To Heaven,6GGtHZgBycCgGBUhZo81xe,89,00FQb4jTyendYWaN8pK0wa
7,0.571,0.458,4,-9.283,1,0.0258,0.544,9.27E-05,0.123,0.299,132.025,audio_features,5LrN7yUQAzvthd4QujgPFr,,https://api.spotify.com/v1/tracks/5LrN7yUQAzvthd4QujgPFr,https://api.spotify.com/v1/audio-analysis/5LrN7yUQAzvthd4QujgPFr,242485,4,d4vd,Here With Me,5LrN7yUQAzvthd4QujgPFr,89,5y8tKLUfMvliMe8IKamR32
8,0.77,0.622,11,-10.621,1,0.026,0.328,0.00603,0.149,0.792,115.952,audio_features,3HOKxuTDmNVmIlCIpBiD8m,,https://api.spotify.com/v1/tracks/3HOKxuTDmNVmIlCIpBiD8m,https://api.spotify.com/v1/audio-analysis/3HOKxuTDmNVmIlCIpBiD8m,231247,3,Peso Pluma,LAGUNAS,3HOKxuTDmNVmIlCIpBiD8m,87,12GqGscKJx3aE4t07u7eVZ
9,0.712,0.603,8,-5.52,1,0.0262,0.186,0,0.115,0.67,97.994,audio_features,1Lo0QY9cvc8sUB2vnIOxDT,,https://api.spotify.com/v1/tracks/1Lo0QY9cvc8sUB2vnIOxDT,https://api.spotify.com/v1/audio-analysis/1Lo0QY9cvc8sUB2vnIOxDT,265493,4,Luke Combs,Fast Car,1Lo0QY9cvc8sUB2vnIOxDT,88,718COspgdWOnwOFpJHRZHS
10,0.549,0.44,7,-8.192,1,0.0264,0.232,7.37E-06,0.107,0.214,128.01,audio_features,0mKnuxVkPi5h0kuvZl44VM,,https://api.spotify.com/v1/tracks/0mKnuxVkPi5h0kuvZl44VM,https://api.spotify.com/v1/audio-analysis/0mKnuxVkPi5h0kuvZl44VM,293707,3,Morgan Wallen,Cover Me Up,0mKnuxVkPi5h0kuvZl44VM,78,4oUHIQIBe0LHzYfvXNW4QM
11,0.505,0.532,8,-3.526,1,0.0265,0.012,0,0.149,0.216,81.907,audio_features,3sW3oSbzsfecv9XoUdGs7h,,https://api.spotify.com/v1/tracks/3sW3oSbzsfecv9XoUdGs7h,https://api.spotify.com/v1/audio-analysis/3sW3oSbzsfecv9XoUdGs7h,353253,4,Taylor Swift,Enchanted (Taylor's Version),3sW3oSbzsfecv9XoUdGs7h,87,06HL4z0CvFAxyc27GXpf02
